                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1953,                 1.7178,                 1.2872,                0.54948,                0.59313,                0.64487,                0.42802,                 1.1184,                 1.8152,                 1.2222,             0.00064957,             0.00064957,             0.00064957
                      2,                  1.211,                  1.726,                 1.2862,                0.55892,                 0.4863,                0.49777,                0.30639,                  1.288,                 1.8868,                 1.3454,              0.0012511,              0.0012511,              0.0012511
                      3,                 1.2913,                 1.7905,                 1.3766,                0.54895,                0.56164,                0.55773,                 0.3581,                 1.2344,                 1.9863,                 1.3039,              0.0017866,              0.0017866,              0.0017866
                      4,                  1.446,                 2.0817,                 1.4521,                0.56599,                0.57168,                0.57894,                0.37065,                 1.2322,                 2.1139,                 1.3032,               0.001703,               0.001703,               0.001703
                      5,                 1.3303,                 2.0166,                 1.3775,                0.53477,                0.56164,                0.49331,                 0.2837,                 1.3371,                  1.989,                 1.3964,               0.001604,               0.001604,               0.001604
                      6,                 1.3871,                 1.9505,                 1.4475,                0.48007,                0.56849,                0.48066,                0.25941,                 1.3264,                 2.1758,                 1.4039,               0.001505,               0.001505,               0.001505
                      7,                 1.3803,                  1.908,                  1.436,                0.48923,                0.58388,                0.50181,                0.28731,                 1.3337,                 1.9938,                 1.3853,               0.001406,               0.001406,               0.001406
                      8,                 1.4324,                 2.0628,                 1.4227,                0.44034,                0.56849,                0.52393,                0.30649,                 1.2757,                 1.9275,                 1.3467,               0.001307,               0.001307,               0.001307
                      9,                 1.4126,                 1.9674,                 1.4586,                0.54055,                0.51573,                0.55025,                0.34842,                 1.2263,                 1.9193,                 1.3324,               0.001208,               0.001208,               0.001208
                     10,                 1.4387,                 2.0876,                 1.5451,                0.68496,                0.58219,                0.66098,                 0.4142,                  1.247,                 1.9038,                  1.347,               0.001109,               0.001109,               0.001109
                     11,                 1.3635,                 2.2112,                 1.4308,                0.63915,                0.59589,                0.66022,                0.42189,                 1.2395,                 1.7905,                 1.3347,                0.00101,                0.00101,                0.00101
                     12,                 1.3038,                 2.1579,                  1.445,                0.57236,                0.60959,                0.63529,                0.41204,                 1.2096,                 1.7649,                 1.3129,               0.000911,               0.000911,               0.000911
                     13,                  1.239,                 2.0205,                 1.3341,                0.67893,                    0.5,                0.63245,                0.40922,                 1.1938,                 1.7522,                 1.3075,               0.000812,               0.000812,               0.000812
                     14,                 1.2684,                 2.0295,                  1.409,                0.65018,                0.57287,                0.66135,                0.43015,                 1.1927,                  1.708,                 1.2941,               0.000713,               0.000713,               0.000713
                     15,                 1.2935,                 1.9412,                 1.4469,                0.60233,                0.58219,                0.65257,                0.42778,                 1.1736,                 1.6748,                 1.2841,               0.000614,               0.000614,               0.000614
                     16,                 1.2634,                  1.968,                 1.4567,                0.63614,                0.58678,                 0.6655,                 0.4474,                 1.1433,                 1.6654,                 1.2648,               0.000515,               0.000515,               0.000515
                     17,                 1.2286,                 1.8165,                 1.3392,                0.75237,                0.53425,                0.67998,                 0.4598,                 1.1244,                 1.6825,                  1.247,               0.000416,               0.000416,               0.000416
                     18,                 1.2733,                 1.9111,                 1.4156,                 0.6807,                0.58219,                0.68996,                0.47349,                 1.1005,                  1.699,                 1.2315,               0.000317,               0.000317,               0.000317
                     19,                 1.2102,                 1.8243,                 1.3574,                0.67869,                0.63699,                0.70548,                0.49157,                  1.093,                 1.6004,                 1.2205,               0.000218,               0.000218,               0.000218
                     20,                 1.2293,                 1.8051,                 1.3735,                0.69256,                0.64803,                0.70675,                0.49652,                 1.0851,                 1.5729,                 1.2153,               0.000119,               0.000119,               0.000119
